Company,Route,Origin,Destination,Service Type
KMB,42M,"青衣(長宏邨)","荃灣(愉景新城)",Regular
KMB,42M,"荃灣(愉景新城)","青衣(長宏邨)",Regular
KMB,43,"青衣(長康邨)","荃灣西站",Regular
KMB,43,"荃灣西站","青衣(長康邨)",Regular
KMB,43A,"青衣(長宏邨)","石籬(大隴街)",Regular
KMB,43A,"石籬(大隴街)","青衣(長宏邨)",Regular
KMB,43B,"青衣(長青邨)","荃灣西站",Regular
KMB,43B,"荃灣西站","青衣(長青邨)",Regular
KMB,43C,"青衣(長康邨)","維港灣",Regular
KMB,43C,"維港灣","青衣(長亨邨)",Regular
KMB,43D,"青衣(長宏邨)","葵盛",Regular
KMB,43M,"葵芳站","長青(循環線)",Regular
Citybus,43M,"田灣","石塘咀",Regular
KMB,43P,"荃灣西站","香港科學園",Regular
KMB,43P,"香港科學園","荃灣西站",Regular
Citybus,43R,"堅尼地城站","堅尼地城",Regular
KMB,43S,"石蔭","香港科學園",Regular
KMB,43S,"香港科學園","石蔭",Regular
KMB,43X,"耀安","荃灣西站",Regular
KMB,43X,"保泰街","荃灣西站",Special Service
KMB,43X,"荃灣西站","耀安",Regular
KMB,44,"青衣邨","旺角東站",Regular
KMB,44,"旺角東站","青衣邨",Regular
KMB,44M,"青衣站","葵涌邨",Regular
KMB,44M,"青衣(長安邨)","葵興站",Special Service
KMB,44M,"葵涌邨","青衣站",Regular
KMB,45,"九龍城碼頭","葵涌(麗瑤邨)",Regular
KMB,45,"葵涌(麗瑤邨)","九龍城碼頭",Regular
KMB,46,"佐敦(西九龍站)","葵涌(麗瑤邨)",Regular
KMB,46,"葵涌(麗瑤邨)","佐敦(西九龍站)",Regular
KMB,46P,"美田","葵芳站",Regular
KMB,46P,"葵芳站","美田",Regular
KMB,46R,"大圍站","昂船洲軍營",Regular
KMB,46R,"昂船洲軍營","大圍站",Regular
KMB,46S,"顯徑","荃灣(如心廣場)",Regular
KMB,46S,"荃灣(如心廣場)","顯徑",Regular
KMB,46X,"顯徑","美孚",Regular
KMB,46X,"美孚","顯徑",Regular
KMB,47A,"水泉澳","葵芳(南)",Regular
KMB,47A,"水泉澳","葵芳(南)",Special Service
KMB,47A,"葵芳(南)","水泉澳",Regular
Citybus,47P,"堅尼地城 (卑路乍灣)","黃竹坑",Regular
KMB,47X,"秦石","葵盛(東)",Regular
KMB,47X,"秦石","葵盛(東)",Special Service
KMB,47X,"新田圍","葵盛(東)",Special Service
KMB,47X,"葵盛(東)","秦石",Regular
Citybus,48,"深灣／海洋公園","華富 (北)",Regular
KMB,48P,"火炭駿洋邨","青龍頭",Regular
KMB,48P,"青龍頭","火炭駿洋邨",Regular
KMB,48X,"禾輋","荃灣(灣景花園)",Regular
KMB,48X,"荃灣(灣景花園)","禾輋",Regular
KMB,49,"青富苑","將軍澳工業邨",Regular
KMB,49,"將軍澳工業邨","青富苑",Regular
KMB,49A,"青富苑","荃灣西站",Regular
KMB,49A,"荃灣西站","青富苑",Regular
KMB,49M,"青衣(青富苑)","青衣站(循環線)",Regular
KMB,49P,"沙田巿中心","青衣碼頭",Regular
KMB,49X,"廣源","青衣碼頭",Regular
KMB,49X,"碩門邨","青衣碼頭",Special Service
KMB,49X,"廣源","青衣碼頭",Special Service
KMB,49X,"青衣碼頭","廣源",Regular
Citybus,49X,"小西灣 (藍灣半島)","數碼港",Regular
Citybus,50,"屯門 (菁田及和田)","尖沙咀 (九龍站)",Regular
Citybus,50M,"和田邨","屯門站",Regular
Citybus,50R,"香港體育館","屯門 (菁田及和田)",Regular
KMB,51,"荃灣(如心廣場)","上村(循環線)",Regular
KMB,52P,"掃管笏","旺角(柏景灣)",Regular
KMB,52X,"屯門巿中心","旺角(柏景灣)",Regular
KMB,52X,"旺角(柏景灣)","屯門巿中心",Regular
KMB,53,"元朗 形點","荃灣(如心廣場)",Regular
KMB,53,"荃灣(如心廣場)","元朗 形點",Regular
KMB,54,"元朗(西)","上村(循環線)",Regular
Citybus,55,"屯門 (菁田及和田)","觀塘碼頭",Regular
Citybus,56,"屯門 (和田及菁田)","上水 (天平邨)",Regular
Citybus,56A,"屯門 (和田及菁田)","粉嶺皇后山 (經:上水站)",Regular
KMB,57M,"屯門(山景邨)","荔景(北)",Regular
KMB,57M,"荔景(北)","屯門(山景邨)",Regular
KMB,58M,"屯門(良景邨)","葵芳站",Regular
KMB,58M,"屯門(建生邨)","葵芳站",Special Service
KMB,58M,"屯門(寶田邨)","葵芳站",Special Service
KMB,58M,"葵芳站","屯門(良景邨)",Regular
KMB,58P,"葵芳站","田景邨(田裕樓)",Regular
KMB,58X,"屯門(良景邨)","旺角東站",Regular
KMB,58X,"屯門(建生邨)","旺角東站",Special Service
